px,py,address,lat,lng,pizza,pizza-source,burger,burger-source,mexican,mexican-source,chinese,chinese-source,thai,thai-source
1268525.0,2642175.0,"78 Arborway, Jamaica Plain, MA 02130, USA",42.309751942505315,-71.12162590026855,28.0625,yelp-min,41.1875,yelp-min,52.6530612244898,yelp-min,36.244897959183675,yelp-min,64.55555555555556,yelp-min
1268525.0,2642200.0,"60 Prince Street, Jamaica Plain, MA 02130, USA",42.311338752837536,-71.12162590026855,34.6875,yelp-min,36.592592592592595,yelp-min,61.224489795918366,yelp-min,44.89795918367347,yelp-min,76.33333333333333,yelp-min
1268525.0,2642225.0,"92-114 Prince Street, Boston, MA 02130, USA",42.312925523166314,-71.12162590026855,37.9375,yelp-min,30.271604938271604,yelp-min,53.224489795918366,yelp-min,49.06122448979592,yelp-min,65.11111111111111,yelp-min
1268525.0,2642350.0,"258-290 Perkins Street, Boston, MA 02130, USA",42.32085877475174,-71.12162590026855,50.875,yelp-min,48.19753086419753,yelp-min,85.77777777777777,yelp-min,68.9795918367347,yelp-min,75.25,yelp-min
1268525.0,2642400.0,"267-299 High Street, Brookline, MA 02445, USA",42.32403179535469,-71.12162590026855,80.75,yelp-min,60.125,yelp-min,95.77777777777777,yelp-min,76.16326530612245,yelp-min,52.5,yelp-min
1268525.0,2642425.0,"Cypress St opp Henry St, Brookline, MA 02445, USA",42.325618245648656,-71.12162590026855,14.5625,yelp-min,68.0,yelp-min,73.3061224489796,yelp-min,76.16326530612245,yelp-min,52.5,yelp-min
1268550.0,2642100.0,"254 Arborway, Boston, MA 02130, USA",42.304991271490266,-71.11948013305663,37.5,yelp-min,28.0,yelp-min,64.89795918367346,yelp-min,48.48979591836735,yelp-min,81.33333333333333,yelp-min
1268550.0,2642150.0,"164 Arborway, Jamaica Plain, MA 02130, USA",42.30816509216989,-71.11948013305663,26.0,yelp-min,29.0625,yelp-min,49.87755102040816,yelp-min,33.46938775510204,yelp-min,60.888888888888886,yelp-min
1268550.0,2642175.0,"21 Arborway Terrace, Jamaica Plain, MA 02130, USA",42.309751942505315,-71.11948013305663,21.9375,yelp-min,36.625,yelp-min,44.6530612244898,yelp-min,28.244897959183675,yelp-min,53.666666666666664,yelp-min
1268550.0,2642200.0,"80 Dunster Road, Jamaica Plain, MA 02130, USA",42.311338752837536,-71.11948013305663,21.25,yelp-min,32.592592592592595,yelp-min,35.3469387755102,yelp-min,27.346938775510203,yelp-min,40.77777777777778,yelp-min
1268550.0,2642225.0,"52 Eliot Street, Jamaica Plain, MA 02130, USA",42.312925523166314,-71.11948013305663,28.3125,yelp-min,26.91358024691358,yelp-min,44.48979591836735,yelp-min,36.48979591836735,yelp-min,53.22222222222222,yelp-min
1268550.0,2642375.0,"224-286 Chestnut Street, Boston, MA 02130, USA",42.32244530505564,-71.11948013305663,68.1875,yelp-min,45.48148148148148,yelp-min,74.125,yelp-min,64.57142857142857,yelp-min,72.4375,yelp-min
1268550.0,2642400.0,"22 Jamaica Road, Brookline, MA 02445, USA",42.32403179535469,-71.11948013305663,78.9375,yelp-min,58.3125,yelp-min,84.875,yelp-min,76.65306122448979,yelp-min,52.875,yelp-min
1268550.0,2642425.0,"70 Jamaica Road, Brookline, MA 02445, USA",42.325618245648656,-71.11948013305663,72.24489795918367,yelp-min,60.4375,yelp-min,81.44444444444444,yelp-min,65.63265306122449,yelp-min,44.4375,yelp-min
1268575.0,2642075.0,"362 Arborway, Jamaica Plain, MA 02130, USA",42.30340430114646,-71.11733436584474,40.93827160493827,yelp-min,32.25,yelp-min,79.18367346938776,yelp-min,61.795918367346935,yelp-min,100.77777777777777,yelp-min
1268575.0,2642100.0,"81 Jamaica Street, Jamaica Plain, MA 02130, USA",42.304991271490266,-71.11733436584474,33.125,yelp-min,15.875,yelp-min,59.265306122448976,yelp-min,42.857142857142854,yelp-min,73.55555555555556,yelp-min
1268575.0,2642125.0,"21 Woodman Street, Jamaica Plain, MA 02130, USA",42.30657820183146,-71.11733436584474,25.3125,yelp-min,13.875,yelp-min,48.97959183673469,yelp-min,32.57142857142857,yelp-min,59.666666666666664,yelp-min
1268575.0,2642150.0,"27 Bardwell Street, Jamaica Plain, MA 02130, USA",42.30816509216989,-71.11733436584474,15.0,yelp-min,20.5,yelp-min,35.59183673469388,yelp-min,19.183673469387756,yelp-min,41.333333333333336,yelp-min
1268575.0,2642175.0,"19 Dunster Road, Jamaica Plain, MA 02130, USA",42.309751942505315,-71.11733436584474,10.4375,yelp-min,25.125,yelp-min,29.551020408163264,yelp-min,13.224489795918368,yelp-min,33.22222222222222,yelp-min
1268575.0,2642200.0,"28 Eliot Street, Jamaica Plain, MA 02130, USA",42.311338752837536,-71.11733436584474,11.75,yelp-min,25.08641975308642,yelp-min,22.857142857142858,yelp-min,14.857142857142858,yelp-min,23.88888888888889,yelp-min
1268575.0,2642225.0,"44C Burroughs Street, Jamaica Plain, MA 02130, USA",42.312925523166314,-71.11733436584474,20.125,yelp-min,24.59259259259259,yelp-min,25.714285714285715,yelp-min,25.877551020408163,yelp-min,27.666666666666668,yelp-min
1268575.0,2642250.0,"61 Burroughs Street, Jamaica Plain, MA 02130, USA",42.31451225349147,-71.11733436584474,23.5,yelp-min,19.703703703703702,yelp-min,27.102040816326532,yelp-min,35.91836734693877,yelp-min,29.555555555555557,yelp-min
1268575.0,2642325.0,"Emerald Necklace, Boston, MA 02130, USA",42.31927220444314,-71.11733436584474,30.375,yelp-min,26.617283950617285,yelp-min,50.55555555555556,yelp-min,53.87755102040816,yelp-min,84.77777777777777,yelp-min
1268575.0,2642350.0,"230-256 Perkins Street, Boston, MA 02130, USA",42.32085877475174,-71.11733436584474,52.5625,yelp-min,31.9375,yelp-min,52.666666666666664,yelp-min,44.16326530612245,yelp-min,74.9375,yelp-min
1268600.0,2642075.0,"185 South Street, Jamaica Plain, MA 02130, USA",42.30340430114646,-71.11518859863283,35.6875,yelp-min,14.5,yelp-min,62.53061224489796,yelp-min,46.204081632653065,yelp-min,78.11111111111111,yelp-min
1268600.0,2642100.0,"149 South Street, Jamaica Plain, MA 02130, USA",42.304991271490266,-71.11518859863283,27.8125,yelp-min,6.625,yelp-min,52.326530612244895,yelp-min,35.91836734693877,yelp-min,64.11111111111111,yelp-min
1268600.0,2642125.0,"90-108 South Street, Jamaica Plain, MA 02130, USA",42.30657820183146,-71.11518859863283,19.0,yelp-min,4.5625,yelp-min,40.734693877551024,yelp-min,24.3265306122449,yelp-min,48.44444444444444,yelp-min
1268600.0,2642150.0,"46 South Street, Boston, MA 02130, USA",42.30816509216989,-71.11518859863283,10.0,yelp-min,11.4375,yelp-min,28.979591836734695,yelp-min,12.571428571428571,yelp-min,32.44444444444444,yelp-min
1268600.0,2642175.0,"779-781 Centre Street, Boston, MA 02130, USA",42.309751942505315,-71.11518859863283,0.5,yelp-min,21.234567901234566,yelp-min,16.571428571428573,yelp-min,0.16326530612244897,yelp-min,15.555555555555555,yelp-min
1268600.0,2642200.0,"11 Thomas Street, Jamaica Plain, MA 02130, USA",42.311338752837536,-71.11518859863283,10.125,yelp-min,17.037037037037038,yelp-min,9.63265306122449,yelp-min,18.367346938775512,yelp-min,5.777777777777778,yelp-min
1268600.0,2642225.0,"98 Park Place, Boston, MA 02130, USA",42.312925523166314,-71.11518859863283,8.5,yelp-min,11.604938271604938,yelp-min,14.857142857142858,yelp-min,75.51020408163265,yelp-min,27.555555555555557,yelp-min
1268600.0,2642250.0,"28-30 Grovenor Road, Jamaica Plain, MA 02130, USA",42.31451225349147,-71.11518859863283,11.6875,yelp-min,5.679012345679013,yelp-min,19.102040816326532,yelp-min,66.61224489795919,yelp-min,33.333333333333336,yelp-min
1268600.0,2642275.0,"25 Goodrich Road, Jamaica Plain, MA 02130, USA",42.31609894381284,-71.11518859863283,18.625,yelp-min,6.074074074074074,yelp-min,28.163265306122447,yelp-min,60.40816326530612,yelp-min,45.666666666666664,yelp-min
1268600.0,2642300.0,"44 Lochstead Avenue, Jamaica Plain, MA 02130, USA",42.317685594130104,-71.11518859863283,31.4375,yelp-min,16.19753086419753,yelp-min,31.88888888888889,yelp-min,48.326530612244895,yelp-min,68.33333333333333,yelp-min
1268600.0,2642325.0,"61 Pershing Road, Jamaica Plain, MA 02130, USA",42.31927220444314,-71.11518859863283,12.6875,yelp-min,25.037037037037038,yelp-min,25.444444444444443,yelp-min,43.59183673469388,yelp-min,88.33333333333333,yelp-min
1268600.0,2642350.0,"108 Perkins Street, Jamaica Plain, MA 02130, USA",42.32085877475174,-71.11518859863283,52.3125,yelp-min,22.3125,yelp-min,36.22222222222222,yelp-min,31.510204081632654,yelp-min,79.375,yelp-min
1268600.0,2642375.0,"71 Parkton Road, Jamaica Plain, MA 02130, USA",42.32244530505564,-71.11518859863283,60.75,yelp-min,29.4375,yelp-min,49.888888888888886,yelp-min,40.816326530612244,yelp-min,71.5,yelp-min
1268625.0,2642050.0,"410-416 New Washington Street, Boston, MA 02130, USA",42.3018172908003,-71.1130428314209,32.2962962962963,yelp-min,27.375,yelp-min,79.42857142857143,yelp-min,37.55102040816327,yelp-min,101.11111111111111,yelp-min
1268625.0,2642075.0,"1-99 Spalding Street, Boston, MA 02130, USA",42.30340430114646,-71.1130428314209,41.3125,yelp-min,20.0625,yelp-min,69.87755102040816,yelp-min,40.40816326530612,yelp-min,88.11111111111111,yelp-min
1268625.0,2642100.0,"36 Hall Street, Jamaica Plain, MA 02130, USA",42.304991271490266,-71.1130428314209,34.6875,yelp-min,13.5,yelp-min,61.30612244897959,yelp-min,32.48979591836735,yelp-min,76.33333333333333,yelp-min
1268625.0,2642125.0,"49 Child Street, Jamaica Plain, MA 02130, USA",42.30657820183146,-71.1130428314209,27.3125,yelp-min,13.5625,yelp-min,51.673469387755105,yelp-min,31.755102040816325,yelp-min,63.22222222222222,yelp-min
1268625.0,2642150.0,"58 Carolina Avenue, Jamaica Plain, MA 02130, USA",42.30816509216989,-71.1130428314209,22.75,yelp-min,19.625,yelp-min,45.63265306122449,yelp-min,33.30612244897959,yelp-min,55.111111111111114,yelp-min
1268625.0,2642175.0,"33 Alveston Street, Jamaica Plain, MA 02130, USA",42.309751942505315,-71.1130428314209,9.125,yelp-min,26.51851851851852,yelp-min,25.224489795918366,yelp-min,45.06122448979592,yelp-min,27.333333333333332,yelp-min
1268625.0,2642200.0,"5 Maple Place, Jamaica Plain, MA 02130, USA",42.311338752837536,-71.1130428314209,10.125,yelp-min,17.037037037037038,yelp-min,11.673469387755102,yelp-min,56.57142857142857,yelp-min,23.22222222222222,yelp-min
1268625.0,2642225.0,"17 Green Street, Jamaica Plain, MA 02130, USA",42.312925523166314,-71.1130428314209,7.25,yelp-min,10.617283950617283,yelp-min,13.224489795918368,yelp-min,68.48979591836735,yelp-min,25.333333333333332,yelp-min
1268625.0,2642250.0,"12-16R Saint John Street, Jamaica Plain, MA 02130, USA",42.31451225349147,-71.1130428314209,12.0625,yelp-min,7.160493827160494,yelp-min,19.510204081632654,yelp-min,69.06122448979592,yelp-min,33.888888888888886,yelp-min
1268625.0,2642275.0,"37 Robinwood Avenue, Jamaica Plain, MA 02130, USA",42.31609894381284,-71.1130428314209,31.375,yelp-min,16.14814814814815,yelp-min,40.55555555555556,yelp-min,54.61224489795919,yelp-min,68.22222222222223,yelp-min
1268625.0,2642300.0,"523-527 Centre Street, Boston, MA 02130, USA",42.317685594130104,-71.1130428314209,24.8125,yelp-min,10.962962962962964,yelp-min,16.77777777777778,yelp-min,37.142857142857146,yelp-min,56.666666666666664,yelp-min
1268625.0,2642325.0,"15-17 Pershing Road, Jamaica Plain, MA 02130, USA",42.31927220444314,-71.1130428314209,34.75,yelp-min,18.814814814814813,yelp-min,11.444444444444445,yelp-min,33.224489795918366,yelp-min,74.22222222222223,yelp-min
1268625.0,2642350.0,"17-19 Halifax Street, Jamaica Plain, MA 02130, USA",42.32085877475174,-71.1130428314209,45.0625,yelp-min,13.625,yelp-min,19.88888888888889,yelp-min,26.775510204081634,yelp-min,92.55555555555556,yelp-min
1268625.0,2642375.0,"25 Zamora Street, Jamaica Plain, MA 02130, USA",42.32244530505564,-71.1130428314209,55.9375,yelp-min,20.5625,yelp-min,39.22222222222222,yelp-min,29.306122448979593,yelp-min,74.625,yelp-min
1268625.0,2642400.0,"99 Bynner Street, Jamaica Plain, MA 02130, USA",42.32403179535469,-71.1130428314209,56.08163265306123,yelp-min,26.125,yelp-min,45.25,yelp-min,33.95918367346939,yelp-min,66.5,yelp-min
1268650.0,2642050.0,"438-452 Arborway, Boston, MA 02130, USA",42.3018172908003,-71.11089706420898,33.135802469135804,yelp-min,36.625,yelp-min,91.51020408163265,yelp-min,38.857142857142854,yelp-min,117.44444444444444,yelp-min
1268650.0,2642075.0,"3593 Washington Street, Jamaica Plain, MA 02130, USA",42.30340430114646,-71.11089706420898,62.6875,yelp-min,39.0625,yelp-min,92.9795918367347,yelp-min,21.551020408163264,yelp-min,126.11111111111111,yelp-min
1268650.0,2642125.0,"99F Call Street, Boston, MA 02130, USA",42.30657820183146,-71.11089706420898,40.5,yelp-min,16.5625,yelp-min,61.06122448979592,yelp-min,18.448979591836736,yelp-min,86.66666666666667,yelp-min
1268650.0,2642150.0,"119 Sedgwick Street, Jamaica Plain, MA 02130, USA",42.30816509216989,-71.11089706420898,27.875,yelp-min,25.0625,yelp-min,43.83673469387755,yelp-min,24.408163265306122,yelp-min,60.666666666666664,yelp-min
1268650.0,2642175.0,"6 Roanoke Avenue, Jamaica Plain, MA 02130, USA",42.309751942505315,-71.11089706420898,20.125,yelp-min,28.19753086419753,yelp-min,30.122448979591837,yelp-min,38.53061224489796,yelp-min,46.888888888888886,yelp-min
1268650.0,2642200.0,"67-69 Seaverns Avenue, Jamaica Plain, MA 02130, USA",42.311338752837536,-71.11089706420898,16.375,yelp-min,19.703703703703702,yelp-min,19.836734693877553,yelp-min,47.673469387755105,yelp-min,34.333333333333336,yelp-min
1268650.0,2642225.0,"102-104 Rockview Street, Jamaica Plain, MA 02130, USA",42.312925523166314,-71.11089706420898,16.875,yelp-min,15.654320987654321,yelp-min,25.79591836734694,yelp-min,65.63265306122449,yelp-min,42.44444444444444,yelp-min
1268650.0,2642250.0,"16 Parley Vale, Jamaica Plain, MA 02130, USA",42.31451225349147,-71.11089706420898,26.25,yelp-min,12.049382716049383,yelp-min,38.04081632653061,yelp-min,64.65306122448979,yelp-min,59.111111111111114,yelp-min
1268650.0,2642275.0,"66 Robinwood Avenue, Jamaica Plain, MA 02130, USA",42.31609894381284,-71.11089706420898,31.25,yelp-min,16.049382716049383,yelp-min,40.333333333333336,yelp-min,54.44897959183673,yelp-min,68.0,yelp-min
1268650.0,2642300.0,"25 Kingsboro Park, Jamaica Plain, MA 02130, USA",42.317685594130104,-71.11089706420898,36.1875,yelp-min,19.950617283950617,yelp-min,20.77777777777778,yelp-min,40.08163265306123,yelp-min,76.77777777777777,yelp-min
1268650.0,2642325.0,"10 Boylston Street, Jamaica Plain, MA 02130, USA",42.31927220444314,-71.11089706420898,38.1875,yelp-min,15.9375,yelp-min,7.777777777777778,yelp-min,27.26530612244898,yelp-min,80.44444444444444,yelp-min
1268650.0,2642350.0,"429 Centre Street, Jamaica Plain, MA 02130, USA",42.32085877475174,-71.11089706420898,42.4375,yelp-min,5.0625,yelp-min,15.222222222222221,yelp-min,13.142857142857142,yelp-min,87.88888888888889,yelp-min
1268650.0,2642375.0,"29 Perkins Street, Jamaica Plain, MA 02130, USA",42.32244530505564,-71.11089706420898,54.1875,yelp-min,18.25,yelp-min,36.22222222222222,yelp-min,26.20408163265306,yelp-min,85.1875,yelp-min
1268650.0,2642400.0,"36-38 Evergreen Street, Jamaica Plain, MA 02130, USA",42.32403179535469,-71.11089706420898,53.87755102040816,yelp-min,20.5625,yelp-min,39.6875,yelp-min,26.693877551020407,yelp-min,73.44444444444444,yelp-min
1268675.0,2642050.0,"454-498 Arborway, Boston, MA 02130, USA",42.3018172908003,-71.10875129699707,39.358024691358025,yelp-min,44.5,yelp-min,101.79591836734694,yelp-min,49.142857142857146,yelp-min,49.142857142857146,yelp-min
1268675.0,2642075.0,"76 Stonley Road, Jamaica Plain, MA 02130, USA",42.30340430114646,-71.10875129699707,63.5625,yelp-min,39.6875,yelp-min,93.71428571428571,yelp-min,22.285714285714285,yelp-min,127.66666666666667,yelp-min
1268675.0,2642100.0,"3534-3570 Washington Street, Boston, MA 02130, USA",42.304991271490266,-71.10875129699707,51.8125,yelp-min,27.9375,yelp-min,78.36734693877551,yelp-min,6.938775510204081,yelp-min,106.77777777777777,yelp-min
1268675.0,2642125.0,"144 McBride Street, Jamaica Plain, MA 02130, USA",42.30657820183146,-71.10875129699707,43.0,yelp-min,28.8125,yelp-min,62.04081632653061,yelp-min,9.959183673469388,yelp-min,81.11111111111111,yelp-min
1268675.0,2642175.0,"8 Everett Street, Jamaica Plain, MA 02130, USA",42.309751942505315,-71.10875129699707,29.0,yelp-min,29.728395061728396,yelp-min,36.40816326530612,yelp-min,31.918367346938776,yelp-min,56.888888888888886,yelp-min
1268675.0,2642200.0,"333 Lamartine Street, Jamaica Plain, MA 02130, USA",42.311338752837536,-71.10875129699707,27.0,yelp-min,26.22222222222222,yelp-min,34.12244897959184,yelp-min,47.10204081632653,yelp-min,53.77777777777778,yelp-min
1268675.0,2642225.0,"99 Cheshire Street, Boston, MA 02130, USA",42.312925523166314,-71.10875129699707,28.375,yelp-min,27.308641975308642,yelp-min,35.91836734693877,yelp-min,59.755102040816325,yelp-min,56.22222222222222,yelp-min
1268675.0,2642250.0,"233 Chestnut Avenue, Jamaica Plain, MA 02130, USA",42.31451225349147,-71.10875129699707,31.1875,yelp-min,29.530864197530864,yelp-min,39.59183673469388,yelp-min,61.4375,yelp-min,61.22222222222222,yelp-min
1268675.0,2642275.0,"69R Spring Park Avenue, Jamaica Plain, MA 02130, USA",42.31609894381284,-71.10875129699707,35.4375,yelp-min,25.333333333333332,yelp-min,50.04081632653061,yelp-min,59.02040816326531,yelp-min,75.44444444444444,yelp-min
1268675.0,2642300.0,"4 Burr Street, Jamaica Plain, MA 02130, USA",42.317685594130104,-71.10875129699707,46.5625,yelp-min,28.9375,yelp-min,30.88888888888889,yelp-min,44.326530612244895,yelp-min,98.22222222222223,yelp-min
1268675.0,2642325.0,"34 Oakview Terrace, Jamaica Plain, MA 02130, USA",42.31927220444314,-71.10875129699707,48.6875,yelp-min,16.4375,yelp-min,26.333333333333332,yelp-min,27.918367346938776,yelp-min,99.0,yelp-min
